county,estabs_20175221,emplvl_20175221,estabs_20175222,emplvl_20175222,estabs_20175223,emplvl_20175223
12031,292,13146,173,7544,91,1473
12033,109,6928,46,364,16,83
12035,26,222,5,15,8,24
12037,4,0,,,,
12039,6,58,2,0,1,0
12041,5,0,1,0,,
12043,1,0,1,0,,
12045,6,0,,,0,0
12047,1,0,,,1,0
12049,6,0,1,0,,
12051,10,129,,,,
12053,41,328,12,59,6,17
12055,30,273,5,0,2,0
12057,408,10376,229,6115,163,6654
12059,4,0,1,0,,
12061,60,552,17,79,5,9
12063,16,194,6,0,0,0
12065,3,0,1,0,,
12067,3,32,,,,
12069,97,900,22,191,8,14
12071,238,2014,63,249,60,164
12073,122,1434,31,347,20,337
12075,14,129,2,0,1,0
12077,1,0,,,,
12079,5,50,,,,
12081,133,969,43,238,15,24
12083,94,852,31,307,9,24
12085,56,744,18,57,11,12
12086,704,14119,514,4981,289,2634
12087,44,468,13,31,8,10
12089,22,278,8,0,3,0
12091,80,1129,37,257,11,103
12093,10,84,2,0,,
12095,358,7193,201,2555,129,2441
12097,64,535,26,116,14,34
12099,510,5622,240,1841,170,926
12101,114,953,42,208,21,41
12103,343,3272,152,1657,107,4034
12105,146,2017,60,290,15,93
12107,16,169,4,0,2,0
12109,80,706,32,171,11,159
12111,69,722,20,81,14,53
12113,48,316,13,47,5,13
12115,179,1416,61,346,43,135
12117,138,2262,64,2959,41,365
12119,46,349,5,0,3,0
12121,8,82,4,18,,
12123,4,0,1,0,,
12125,3,0,1,0,,
12127,163,1305,64,711,15,52
12129,6,47,1,0,1,0
12131,27,192,12,18,5,12
12133,8,0,2,0,,
12999,131,2551,293,2712,211,912
13000,2662,42670,2392,17896,713,13799
13001,6,72,5,0,1,0
13003,2,0,,,,
13005,2,0,6,0,,
13007,1,0,,,,
13009,9,177,14,62,,
13011,3,0,1,0,,
13013,14,108,11,39,,
13015,23,344,24,0,3,0
13017,4,73,7,21,,
13019,5,0,4,0,,
13021,61,765,43,0,7,0
13023,2,0,3,0,,
13025,2,0,2,0,,
13027,5,54,4,11,,
13029,7,69,3,0,,
13031,17,211,22,131,,
13033,4,83,7,23,,
13035,3,39,9,22,,
13037,2,0,,,,
13039,14,336,11,40,3,5
13043,4,0,1,0,,
13045,29,266,29,78,3,19
13047,11,159,9,0,1,0
13049,3,23,4,9,,
13051,104,993,133,515,16,220
